referenceNum,employeeID,jobID,"date","clockIn","clockOut",totalHours,weekNum,jobLogRef
306,48,49,"2013-02-05","08:26:59","10:42:37",2.27,6,99
305,62,49,"2013-02-05","08:26:34","10:42:14",2.27,6,99
304,43,43,"2013-02-05","07:05:57","08:23:37",1.3,6,98
303,42,43,"2013-02-05","07:05:43","08:23:27",1.3,6,98
302,50,43,"2013-02-05","07:05:29","08:23:18",1.3,6,98
301,63,43,"2013-02-05","07:05:15","08:23:09",1.3,6,98
43,30,20,"2013-01-18","15:55:50","15:57:49",0.03,3,33
44,43,20,"2013-01-21","08:31:11","15:28:34",6.95,4,34
45,42,20,"2013-01-21","08:31:24","15:28:46",6.95,4,34
46,41,20,"2013-01-21","08:31:35","15:28:55",6.95,4,34
47,40,20,"2013-01-21","08:32:05","15:29:04",6.95,4,34
48,47,21,"2013-01-21","08:30:25","15:30:57",7,4,35
49,46,21,"2013-01-21","08:30:09","15:31:06",7.02,4,35
50,45,21,"2013-01-21","08:29:56","15:31:18",7.03,4,35
51,44,21,"2013-01-21","08:29:40","15:31:26",7.03,4,35
52,45,21,"2013-01-22","07:04:43","08:54:01",1.83,4,36
53,44,21,"2013-01-22","07:04:56","08:54:09",1.83,4,36
54,46,21,"2013-01-22","07:04:32","08:54:18",1.83,4,36
55,47,21,"2013-01-22","07:04:20","08:54:31",1.83,4,36
56,49,20,"2013-01-22","07:08:27","14:33:05",7.42,4,38
57,40,20,"2013-01-22","07:08:42","14:33:13",7.42,4,38
58,45,22,"2013-01-22","09:01:36","14:33:22",5.53,4,37
59,44,22,"2013-01-22","09:01:18","14:33:28",5.53,4,37
60,46,22,"2013-01-22","09:01:06","14:33:35",5.53,4,37
61,47,22,"2013-01-22","09:00:33","14:33:41",5.55,4,37
62,42,21,"2013-01-23","07:04:02","09:14:00",2.17,4,39
63,46,21,"2013-01-23","07:04:19","09:14:13",2.17,4,39
64,47,21,"2013-01-23","07:04:34","09:14:25",2.17,4,39
65,48,21,"2013-01-23","07:04:48","09:14:33",2.17,4,39
66,43,21,"2013-01-23","07:05:05","09:14:42",2.15,4,39
67,50,21,"2013-01-23","07:06:06","09:14:49",2.13,4,39
68,42,22,"2013-01-23","09:16:19","12:40:33",3.4,4,40
69,50,22,"2013-01-23","09:16:31","12:40:41",3.4,4,40
70,43,22,"2013-01-23","09:16:48","12:40:49",3.4,4,40
71,48,22,"2013-01-23","09:17:01","12:40:55",3.38,4,40
72,47,22,"2013-01-23","09:17:15","12:41:01",3.4,4,40
73,46,22,"2013-01-23","09:17:27","12:41:08",3.4,4,40
74,42,23,"2013-01-23","12:45:08","15:27:43",2.7,4,41
75,43,23,"2013-01-23","12:45:46","15:27:50",2.7,4,41
76,47,23,"2013-01-23","12:45:56","15:27:56",2.7,4,41
77,46,23,"2013-01-23","12:46:08","15:28:02",2.7,4,41
78,48,23,"2013-01-24","07:03:59","10:41:15",3.63,4,42
79,43,23,"2013-01-24","07:04:13","10:41:24",3.62,4,42
80,47,23,"2013-01-24","07:04:30","10:41:30",3.62,4,42
81,50,23,"2013-01-24","07:04:46","10:41:37",3.62,4,42
82,31,26,"2013-01-24","10:01:32","11:43:54",1.7,4,43
83,43,20,"2013-01-24","10:43:15","12:51:12",2.13,4,44
84,48,20,"2013-01-24","10:42:48","12:51:29",2.15,4,44
85,50,20,"2013-01-24","10:43:27","12:51:38",2.13,4,44
86,47,20,"2013-01-24","10:43:36","12:51:46",2.13,4,44
87,54,24,"2013-01-24","07:12:15","13:01:50",5.82,4,47
88,43,27,"2013-01-24","13:01:44","15:27:35",2.43,4,45
89,48,27,"2013-01-24","13:02:35","15:28:00",2.43,4,45
90,50,27,"2013-01-24","13:02:45","15:28:13",2.43,4,45
91,47,27,"2013-01-24","13:02:55","15:28:24",2.43,4,45
92,53,24,"2013-01-24","07:12:02","15:57:33",8.75,4,47
93,52,24,"2013-01-24","07:11:48","15:57:39",8.77,4,47
94,55,24,"2013-01-24","07:11:36","15:57:45",8.77,4,47
95,54,24,"2013-01-24","13:02:20","15:57:52",2.92,4,47
96,56,25,"2013-01-24","09:45:27","17:38:21",7.88,4,46
97,57,25,"2013-01-24","09:45:38","17:38:32",7.88,4,46
