id,"number","description","customer","location",productionPerHour,peopleRequired
2065,"105792X","ULTRASONIC ESSENTIAL DIFFUSER KIT","HLL","495",1080,6
2064,"105792W","ULTRASONIC ESSENTIAL DIFFUSER KIT","HLL","495",1080,6
2063,"105792Y","ULTRASONIC ESSENTIAL DIFFUSER KIT","HLL","494",1080,6
2062,"105792V","UTRASONIC ESSENTIALS DIFFUSER KIT","HLL","495",1080,6
2061,"105792T","ULTRASONIC ESSENTIAL DIFFUSER KIT","HLL","495",1080,6
2060,"105756K","RING DROPS:STRAWBERRY WATERMELON-3MG","REJ","494",1800,5
2059,"105792R","ULTRASONIC ESSENTIAL DIFFUSER KIT","HLL","494",1080,6
2058,"105792P","UTRASONIC ESSENTIALS DIFFUSER KIT","HLL","495",1080,6
2057,"105792N","ULTRASONIC ESSENTIALS DIFFUSER KIT","HLL","495",1080,6
2056,"105792U","ULTRASONIC ESSENTIAL DIFFUSER KIT","HLL","495",1080,6
2055,"105756J","RING DROPS:STRAWBERRY WATERMELON-0MG","REJ","494",1800,5
2054,"105792S","ULTRASONIC ESSENTIAL DIFFUSER KIT","HLL","495",1080,6
2053,"105792Q","ULTRASONIC ESSENTIAL DIFFUSER KIT","HLL","495",1084,6
2052,"105792O","ULTRASONIC ESSENTIAL DIFFUSER KIT","HLL","495",1080,6
2051,"105790","Concealer Shrink Sleeve ","NMG","494",2400,4
2050,"105795","EYE TECH PERFECTION-BLACK","NMG","495",2800,5
2049,"105792M","ULTRASONIC ESSENTIAL DIFFUSER KIT","HLL","495",1080,6
2048,"105792K","ULTRASONIC ESSENTIAL DIFFUSER KIT","HLL","495",1080,6
2047,"105793F","SAD LIQUID LIP COLOR FIERY","SSL","494",1200,3
2046,"105792L","ULTRASONIC ESSENTIAL DIFFUSER KIT","HLL","495",1080,6
2045,"105792I","ULTRASONIC ESSENTIAL DIFFUSER KIT","HLL","495",1080,6
2044,"105792G","ULTRASONIC ESSENTIAL DIFFUSER KIT","HLL","495",1080,6
2043,"105792J","ULTRASONIC ESSENTIAL DIFFUSER KIT","HLL","495",1080,6
2042,"105792H","ULTRASONIC ESSENTIAL DIFFUSER KIT","HLL","495",1080,6
2041,"105792F","ULTRASONIC ESSENTIAL DIFFUSER KIT","HLL","495",1080,6
2040,"105792E","ULTRASONIC ESSENTIAL DIFFUSER KIT","HLL","495",1080,6
2039,"105792D","ultransonic essential deffuser kit","HLL","495",1080,6
2038,"105759B","EASYLINER-BLACK","NMG","495",2800,5
2037,"105792C","ULTRASONIC ESSENTIAL DIFFUSER KIT","HLL","495",1080,6
2035,"105792B","ultransonic essential deffuser kit","HLL","495",1080,6
2034,"105792","ultransonic essential deffuser kit","hll","494",1080,6
2033,"105637X","Lip Liner Shrink Sleeve- Bordeaux ","NMG","494",2400,3
2032,"105793","SAD LIQUID LIP COLOR- ARIA","SSL","949",1200,3
2031,"105656T","Lip Liner Shrink Sleeve-True Red","NMG","494",2400,3
2030,"105757","fOLDING AND GLUEING 3PCS CHIP BOX MTHCH","NMG","495",10000,3
2029,"105143","BANKED E/S TRIO-BRONZE GLOW","SSL","494",480,6
2028,"105791","SAD LIQUID LIP COLOR PATINA","SSL","494",1200,3
2027,"105765O","SAD LIQUID LIP COLOR-ROSA","SSL","949",1200,3
2026,"105637P","Lip Liner Shrink Sleeve- Pretty Pink","NMG","494",2400,3
2025,"105765L","SAD LIQUID LIP COLOR BELLA","SSL","494",1200,3
2024,"105760D","DAMSEL-SMUDGESTICK REBRAND","SSL","494",1200,5
2023,"105788","Lip Liner SHRINK SLEEVE HAUTE PINK","NMG","494",2400,3
2022,"105760E","TURQUOISE - SMUDGESTICK REBRAND","SSL","949",1200,5
2021,"105770a","BROW FIX KIT - MEDIUM","NMG","495",2880,5
2020,"105765V","sad liquid lip color-venezia","SSL","494",1200,3
2019,"105731A","Hourglass EQ day Fluid Cello Film ","HGC","494",120,1
2018,"105782Z","SAD LIQUID LIP COLOR CARAMELLO","SSL","494",1200,3
2017,"105760C","PURPLE TANG - SMUDGESTICK REBRAND","SSL","949",1200,5
2016,"105765G","SAD LIQUID LIP COLOR CARAMELLO","SSL","494",1200,3
2015,"105765Z","SAD LIQUID LIP COLOR FIERY","SSL","494",1200,3
2014,"105787","ESPRESSO SMUDGESTICK","SSL","494",1200,4
2013,"105770","brow fix kit- light","NMG","495",2880,5
2012,"105756C","MAGIC 6MG","REJ","494",1800,5
2011,"105786","BROW FIX KIT - DARK","nmg","495",2880,5
2010,"105756B","Magic Ohms: Magic 3mg ","REJ","494",1800,5
2009,"105629","metallic umber smudgestick","SSL","494",1200,4
2008,"105756a","magic ohms 0mg","REJ","494",1700,6
2007,"105756i","Drip Treats: blueberry deligth 6mg","REJ","494",1800,5
2006,"105756H","Drip Treats: blueberry deligth 3mg ","REJ","494",1800,5
2005,"105768","even touch-natural","NMG","495",1980,6
2004,"105756g","Drip Treats: blueberry deligth","REJ","495",1800,5
2003,"105782B","SAD LIQUID LIP COLOR-BACCA","SSL","494",1200,3
2002,"105782A","sad liquid lip color-CHIANTI","SSL","494",1200,3
2001,"105756F","Drip Treats: Strawberry Pleasure 6mg","REJ","494",1800,5
2000,"105765B","SAD LIQUID LIP COLOR-BACI","SSL","949",1200,4
1999,"105760F","SPICE SMUDGESTICK REBRAND","SSL","494",1200,5
1998,"105765M","SAD LIQUID LIP COLOR AMALIFI","SSL","494",1200,3
1997,"105760G","TETRA-SMUDGESTICK REBRAND","SSL","494",1200,5
