referenceNum,jobID,"date"
7372,1971,"2016-02-12"
8047,2295,"2016-05-10"
8084,2313,"2016-05-14"
6024,1504,"2015-05-18"
6510,1713,"2015-09-14"
7926,2238,"2016-04-23"
7988,1974,"2016-05-02"
5673,581,"2015-03-12"
6398,1688,"2015-08-26"
6096,1507,"2015-06-10"
6808,1763,"2015-11-13"
5690,30,"2015-03-13"
5677,416,"2015-03-12"
6402,1094,"2015-08-27"
5676,413,"2015-03-12"
6046,1540,"2015-05-27"
5745,846,"2015-03-20"
7487,2015,"2016-02-26"
6014,1505,"2015-05-14"
6020,1503,"2015-05-15"
6919,1844,"2015-12-07"
7591,2068,"2016-03-08"
6804,1203,"2015-11-13"
7833,2184,"2016-04-13"
6890,1808,"2015-11-30"
7826,2181,"2016-04-12"
7031,1860,"2015-12-21"
7385,1978,"2016-02-15"
7545,2043,"2016-03-03"
8032,2293,"2016-05-06"
8085,2312,"2016-05-15"
6958,1852,"2015-12-10"
7863,2200,"2016-04-18"
7633,2091,"2016-03-11"
7609,2070,"2016-03-10"
7351,1930,"2016-02-10"
8083,2310,"2016-05-14"
8048,2282,"2016-05-10"
8100,2326,"2016-05-17"
8080,2308,"2016-05-13"
8111,2332,"2016-05-18"
8090,2319,"2016-05-16"
8118,2335,"2016-05-19"
